Quarter,Month,Region,State,Manager,Salesperson,Category,Subcategory,Quantity,Unit Prize,Discount,Sales
3,September,North,Minnesota,Andersen,Adams,Business,Womens,150,6, 10 , 900 
3,September,North,Minnesota,Andersen,Benson,Casual,Mens,140,6, 6 , 840 
3,September,North,Minnesota,Andersen,Benson,Business,Mens,120,6, 6 , 720 
3,September,North,Minnesota,Andersen,Benson,Casual,Womens,160,7, 5 ," 1,120 "
3,September,North,Minnesota,Andersen,Benson,Business,Womens,60,10, 6 , 600 
3,September,North,Minnesota,Andersen,Childers,Casual,Mens,150,6, 9 , 900 
3,September,North,Minnesota,Andersen,Childers,Business,Mens,180,10, 7 ," 1,800 "
3,September,North,Minnesota,Andersen,Childers,Casual,Womens,130,8, 9 ," 1,040 "
3,September,North,Minnesota,Andersen,Childers,Business,Womens,90,9, 8 , 810 
3,September,North,Minnesota,Andersen,Denison,Casual,Mens,160,7, 5 ," 1,120 "
3,September,North,Minnesota,Andersen,Denison,Business,Mens,80,9, 7 , 720 
3,September,North,Minnesota,Andersen,Denison,Casual,Womens,170,9, 5 ," 1,530 "
3,September,North,Minnesota,Andersen,Denison,Business,Womens,140,5, 8 , 700 
4,October,North,Minnesota,Andersen,Adams,Casual,Mens,60,6, 9 , 360 
4,October,North,Minnesota,Andersen,Adams,Business,Mens,80,5, 10 , 400 
4,October,North,Minnesota,Andersen,Adams,Casual,Womens,50,8, 10 , 400 
4,October,North,Minnesota,Andersen,Adams,Business,Womens,70,8, 10 , 560 
4,October,North,Minnesota,Andersen,Benson,Casual,Mens,70,9, 9 , 630 
4,October,North,Minnesota,Andersen,Benson,Business,Mens,60,5, 8 , 300 
4,October,North,Minnesota,Andersen,Benson,Casual,Womens,80,9, 9 , 720 
4,October,North,Minnesota,Andersen,Benson,Business,Womens,70,6, 7 , 420 
4,October,North,Minnesota,Andersen,Childers,Casual,Mens,160,7, 5 ," 1,120 "
4,October,North,Minnesota,Andersen,Childers,Business,Mens,140,7, 8 , 980 
4,October,North,Minnesota,Andersen,Childers,Casual,Womens,190,7, 5 ," 1,330 "
4,October,North,Minnesota,Andersen,Childers,Business,Womens,120,6, 7 , 720 
4,October,North,Minnesota,Andersen,Denison,Casual,Mens,180,7, 7 ," 1,260 "
4,October,North,Minnesota,Andersen,Denison,Business,Mens,190,7, 9 ," 1,330 "
4,October,North,Minnesota,Andersen,Denison,Casual,Womens,50,5, 8 , 250 
4,October,North,Minnesota,Andersen,Denison,Business,Womens,140,8, 8 ," 1,120 "
4,November,North,Minnesota,Andersen,Adams,Casual,Mens,70,10, 5 , 700 
4,November,North,Minnesota,Andersen,Adams,Business,Mens,130,7, 7 , 910 
4,November,North,Minnesota,Andersen,Adams,Casual,Womens,170,7, 7 ," 1,190 "
4,November,North,Minnesota,Andersen,Adams,Business,Womens,60,10, 7 , 600 
4,November,North,Minnesota,Andersen,Benson,Casual,Mens,70,6, 8 , 420 
4,November,North,Minnesota,Andersen,Benson,Business,Mens,130,5, 10 , 650 
4,November,North,Minnesota,Andersen,Benson,Casual,Womens,190,7, 9 ," 1,330 "
4,November,North,Minnesota,Andersen,Benson,Business,Womens,60,9, 9 , 540 
4,November,North,Minnesota,Andersen,Childers,Casual,Mens,170,10, 8 ," 1,700 "
4,November,North,Minnesota,Andersen,Childers,Business,Mens,160,5, 9 , 800 
4,November,North,Minnesota,Andersen,Childers,Casual,Womens,100,6, 7 , 600 
4,November,North,Minnesota,Andersen,Childers,Business,Womens,130,6, 6 , 780 
4,November,North,Minnesota,Andersen,Denison,Casual,Mens,120,9, 6 ," 1,080 "
4,November,North,Minnesota,Andersen,Denison,Business,Mens,180,6, 10 ," 1,080 "
4,November,North,Minnesota,Andersen,Denison,Casual,Womens,70,7, 10 , 490 
4,November,North,Minnesota,Andersen,Denison,Business,Womens,180,7, 5 ," 1,260 "
4,December,North,Minnesota,Andersen,Adams,Casual,Mens,140,6, 6 , 840 
4,December,North,Minnesota,Andersen,Adams,Business,Mens,70,9, 7 , 630 
4,December,North,Minnesota,Andersen,Adams,Casual,Womens,60,5, 7 , 300 
4,December,North,Minnesota,Andersen,Adams,Business,Womens,70,5, 6 , 350 
4,December,North,Minnesota,Andersen,Benson,Casual,Mens,190,5, 8 , 950 
4,December,North,Minnesota,Andersen,Benson,Business,Mens,110,8, 9 , 880 
4,December,North,Minnesota,Andersen,Benson,Casual,Womens,90,5, 9 , 450 
4,December,North,Minnesota,Andersen,Benson,Business,Womens,170,6, 10 ," 1,020 "
4,December,North,Minnesota,Andersen,Childers,Casual,Mens,80,7, 5 , 560 
4,December,North,Minnesota,Andersen,Childers,Business,Mens,120,10, 10 ," 1,200 "
4,December,North,Minnesota,Andersen,Childers,Casual,Womens,60,7, 9 , 420 
4,December,North,Minnesota,Andersen,Childers,Business,Womens,140,5, 7 , 700 
4,December,North,Minnesota,Andersen,Denison,Casual,Mens,130,10, 9 ," 1,300 "
4,December,North,Minnesota,Andersen,Denison,Business,Mens,170,9, 6 ," 1,530 "
4,December,North,Minnesota,Andersen,Denison,Casual,Womens,120,5, 8 , 600 
4,December,North,Minnesota,Andersen,Denison,Business,Womens,180,5, 7 , 900 
1,January,North,Wisconsin,Bailey,Ashley,Casual,Mens,160,6, 6 , 960 
1,January,North,Wisconsin,Bailey,Ashley,Business,Mens,120,9, 9 ," 1,080 "
1,January,North,Wisconsin,Bailey,Ashley,Casual,Womens,90,9, 10 , 810 
1,January,North,Wisconsin,Bailey,Ashley,Business,Womens,120,8, 9 , 960 
1,January,North,Wisconsin,Bailey,Blakely,Casual,Mens,60,7, 7 , 420 
1,January,North,Wisconsin,Bailey,Blakely,Business,Mens,50,6, 8 , 300 
1,January,North,Wisconsin,Bailey,Blakely,Casual,Womens,130,9, 5 ," 1,170 "
1,January,North,Wisconsin,Bailey,Blakely,Business,Womens,150,8, 9 ," 1,200 "
1,January,North,Wisconsin,Bailey,Chandler,Casual,Mens,130,10, 6 ," 1,300 "
1,January,North,Wisconsin,Bailey,Chandler,Business,Mens,70,8, 9 , 560 
1,January,North,Wisconsin,Bailey,Chandler,Casual,Womens,170,7, 6 ," 1,190 "
1,January,North,Wisconsin,Bailey,Chandler,Business,Womens,90,9, 10 , 810 
1,January,North,Wisconsin,Bailey,Denton,Casual,Mens,150,5, 5 , 750 
1,January,North,Wisconsin,Bailey,Denton,Business,Mens,80,5, 8 , 400 
1,January,North,Wisconsin,Bailey,Denton,Casual,Womens,180,9, 8 ," 1,620 "
1,January,North,Wisconsin,Bailey,Denton,Business,Womens,190,9, 10 ," 1,710 "
1,February,North,Wisconsin,Bailey,Ashley,Casual,Mens,90,7, 5 , 630 
1,February,North,Wisconsin,Bailey,Ashley,Business,Mens,80,7, 6 , 560 
1,February,North,Wisconsin,Bailey,Ashley,Casual,Womens,180,8, 5 ," 1,440 "
1,February,North,Wisconsin,Bailey,Ashley,Business,Womens,170,5, 8 , 850 
1,February,North,Wisconsin,Bailey,Blakely,Casual,Mens,70,9, 5 , 630 
1,February,North,Wisconsin,Bailey,Blakely,Business,Mens,90,9, 7 , 810 
1,February,North,Wisconsin,Bailey,Blakely,Casual,Womens,150,6, 8 , 900 
1,February,North,Wisconsin,Bailey,Blakely,Business,Womens,160,9, 9 ," 1,440 "
1,February,North,Wisconsin,Bailey,Chandler,Casual,Mens,70,7, 9 , 490 
1,February,North,Wisconsin,Bailey,Chandler,Business,Mens,130,9, 5 ," 1,170 "
1,February,North,Wisconsin,Bailey,Chandler,Casual,Womens,140,7, 7 , 980 
1,February,North,Wisconsin,Bailey,Chandler,Business,Womens,180,5, 5 , 900 
1,February,North,Wisconsin,Bailey,Denton,Casual,Mens,100,5, 5 , 500 
1,February,North,Wisconsin,Bailey,Denton,Business,Mens,190,6, 5 ," 1,140 "
1,February,North,Wisconsin,Bailey,Denton,Casual,Womens,120,6, 5 , 720 
1,February,North,Wisconsin,Bailey,Denton,Business,Womens,140,5, 5 , 700 
1,March,North,Wisconsin,Bailey,Ashley,Casual,Mens,50,5, 7 , 250 
1,March,North,Wisconsin,Bailey,Ashley,Business,Mens,190,6, 8 ," 1,140 "
1,March,North,Wisconsin,Bailey,Ashley,Casual,Womens,150,10, 5 ," 1,500 "
1,March,North,Wisconsin,Bailey,Ashley,Business,Womens,160,7, 5 ," 1,120 "
1,March,North,Wisconsin,Bailey,Blakely,Casual,Mens,150,9, 8 ," 1,350 "
1,March,North,Wisconsin,Bailey,Blakely,Business,Mens,180,9, 10 ," 1,620 "
1,March,North,Wisconsin,Bailey,Blakely,Casual,Womens,150,5, 5 , 750 
1,March,North,Wisconsin,Bailey,Blakely,Business,Womens,150,7, 6 ," 1,050 "
1,March,North,Wisconsin,Bailey,Chandler,Casual,Mens,180,10, 8 ," 1,800 "
1,March,North,Wisconsin,Bailey,Chandler,Business,Mens,160,6, 5 , 960 
1,March,North,Wisconsin,Bailey,Chandler,Casual,Womens,130,6, 5 , 780 
1,March,North,Wisconsin,Bailey,Chandler,Business,Womens,60,6, 9 , 360 
1,March,North,Wisconsin,Bailey,Denton,Casual,Mens,80,10, 8 , 800 
1,March,North,Wisconsin,Bailey,Denton,Business,Mens,130,9, 5 ," 1,170 "
1,March,North,Wisconsin,Bailey,Denton,Casual,Womens,190,7, 7 ," 1,330 "
1,March,North,Wisconsin,Bailey,Denton,Business,Womens,130,10, 6 ," 1,300 "
2,April,North,Wisconsin,Bailey,Ashley,Casual,Mens,80,9, 7 , 720 
2,April,North,Wisconsin,Bailey,Ashley,Business,Mens,190,10, 8 ," 1,900 "
2,April,North,Wisconsin,Bailey,Ashley,Casual,Womens,70,9, 8 , 630 
2,April,North,Wisconsin,Bailey,Ashley,Business,Womens,120,10, 7 ," 1,200 "
2,April,North,Wisconsin,Bailey,Blakely,Casual,Mens,160,6, 10 , 960 
2,April,North,Wisconsin,Bailey,Blakely,Business,Mens,110,7, 9 , 770 
2,April,North,Wisconsin,Bailey,Blakely,Casual,Womens,80,9, 5 , 720 
2,April,North,Wisconsin,Bailey,Blakely,Business,Womens,180,9, 8 ," 1,620 "
2,April,North,Wisconsin,Bailey,Chandler,Casual,Mens,70,5, 8 , 350 
2,April,North,Wisconsin,Bailey,Chandler,Business,Mens,50,8, 8 , 400 
2,April,North,Wisconsin,Bailey,Chandler,Casual,Womens,50,9, 10 , 450 
2,April,North,Wisconsin,Bailey,Chandler,Business,Womens,70,5, 8 , 350 
2,April,North,Wisconsin,Bailey,Denton,Casual,Mens,180,7, 7 ," 1,260 "
2,April,North,Wisconsin,Bailey,Denton,Business,Mens,150,7, 6 ," 1,050 "
2,April,North,Wisconsin,Bailey,Denton,Casual,Womens,100,5, 10 , 500 
2,April,North,Wisconsin,Bailey,Denton,Business,Womens,150,7, 8 ," 1,050 "
2,May,North,Wisconsin,Bailey,Ashley,Casual,Mens,140,8, 8 ," 1,120 "
2,May,North,Wisconsin,Bailey,Ashley,Business,Mens,60,8, 8 , 480 
2,May,North,Wisconsin,Bailey,Ashley,Casual,Womens,90,7, 8 , 630 
2,May,North,Wisconsin,Bailey,Ashley,Business,Womens,130,7, 5 , 910 
2,May,North,Wisconsin,Bailey,Blakely,Casual,Mens,60,10, 9 , 600 
2,May,North,Wisconsin,Bailey,Blakely,Business,Mens,180,8, 10 ," 1,440 "
2,May,North,Wisconsin,Bailey,Blakely,Casual,Womens,180,10, 5 ," 1,800 "
2,May,North,Wisconsin,Bailey,Blakely,Business,Womens,180,5, 9 , 900 
2,May,North,Wisconsin,Bailey,Chandler,Casual,Mens,150,8, 7 ," 1,200 "
2,May,North,Wisconsin,Bailey,Chandler,Business,Mens,100,8, 9 , 800 
2,May,North,Wisconsin,Bailey,Chandler,Casual,Womens,120,5, 6 , 600 
2,May,North,Wisconsin,Bailey,Chandler,Business,Womens,170,9, 5 ," 1,530 "
2,May,North,Wisconsin,Bailey,Denton,Casual,Mens,110,9, 5 , 990 
2,May,North,Wisconsin,Bailey,Denton,Business,Mens,140,6, 10 , 840 
2,May,North,Wisconsin,Bailey,Denton,Casual,Womens,60,10, 7 , 600 
2,May,North,Wisconsin,Bailey,Denton,Business,Womens,110,8, 9 , 880 
2,June,North,Wisconsin,Bailey,Ashley,Casual,Mens,50,5, 6 , 250 
2,June,North,Wisconsin,Bailey,Ashley,Business,Mens,160,5, 8 , 800 
2,June,North,Wisconsin,Bailey,Ashley,Casual,Womens,80,5, 5 , 400 
2,June,North,Wisconsin,Bailey,Ashley,Business,Womens,90,9, 6 , 810 
2,June,North,Wisconsin,Bailey,Blakely,Casual,Mens,140,6, 6 , 840 
2,June,North,Wisconsin,Bailey,Blakely,Business,Mens,100,8, 8 , 800 
2,June,North,Wisconsin,Bailey,Blakely,Casual,Womens,80,9, 5 , 720 
2,June,North,Wisconsin,Bailey,Blakely,Business,Womens,110,5, 9 , 550 
2,June,North,Wisconsin,Bailey,Chandler,Casual,Mens,120,7, 9 , 840 
2,June,North,Wisconsin,Bailey,Chandler,Business,Mens,160,10, 6 ," 1,600 "
2,June,North,Wisconsin,Bailey,Chandler,Casual,Womens,190,7, 8 ," 1,330 "
2,June,North,Wisconsin,Bailey,Chandler,Business,Womens,130,5, 5 , 650 
2,June,North,Wisconsin,Bailey,Denton,Casual,Mens,130,5, 5 , 650 
2,June,North,Wisconsin,Bailey,Denton,Business,Mens,170,7, 5 ," 1,190 "
2,June,North,Wisconsin,Bailey,Denton,Casual,Womens,80,7, 8 , 560 
2,June,North,Wisconsin,Bailey,Denton,Business,Womens,60,7, 5 , 420 
3,July,North,Wisconsin,Bailey,Ashley,Casual,Mens,190,5, 10 , 950 
3,July,North,Wisconsin,Bailey,Ashley,Business,Mens,60,10, 8 , 600 
3,July,North,Wisconsin,Bailey,Ashley,Casual,Womens,180,10, 7 ," 1,800 "
3,July,North,Wisconsin,Bailey,Ashley,Business,Womens,190,8, 6 ," 1,520 "
3,July,North,Wisconsin,Bailey,Blakely,Casual,Mens,90,6, 8 , 540 
3,July,North,Wisconsin,Bailey,Blakely,Business,Mens,130,9, 8 ," 1,170 "
3,July,North,Wisconsin,Bailey,Blakely,Casual,Womens,170,5, 5 , 850 
3,July,North,Wisconsin,Bailey,Blakely,Business,Womens,160,5, 10 , 800 
3,July,North,Wisconsin,Bailey,Chandler,Casual,Mens,130,8, 10 ," 1,040 "
3,July,North,Wisconsin,Bailey,Chandler,Business,Mens,70,6, 9 , 420 
3,July,North,Wisconsin,Bailey,Chandler,Casual,Womens,150,9, 10 ," 1,350 "
3,July,North,Wisconsin,Bailey,Chandler,Business,Womens,60,10, 9 , 600 
3,July,North,Wisconsin,Bailey,Denton,Casual,Mens,90,6, 5 , 540 
3,July,North,Wisconsin,Bailey,Denton,Business,Mens,60,5, 6 , 300 
3,July,North,Wisconsin,Bailey,Denton,Casual,Womens,170,10, 8 ," 1,700 "
3,July,North,Wisconsin,Bailey,Denton,Business,Womens,60,5, 9 , 300 
3,August,North,Wisconsin,Bailey,Ashley,Casual,Mens,180,10, 10 ," 1,800 "
3,August,North,Wisconsin,Bailey,Ashley,Business,Mens,170,9, 10 ," 1,530 "
3,August,North,Wisconsin,Bailey,Ashley,Casual,Womens,100,7, 5 , 700 
3,August,North,Wisconsin,Bailey,Ashley,Business,Womens,200,7, 7 ," 1,400 "
3,August,North,Wisconsin,Bailey,Blakely,Casual,Mens,150,10, 7 ," 1,500 "
3,August,North,Wisconsin,Bailey,Blakely,Business,Mens,170,8, 8 ," 1,360 "
3,August,North,Wisconsin,Bailey,Blakely,Casual,Womens,190,5, 9 , 950 
3,August,North,Wisconsin,Bailey,Blakely,Business,Womens,180,5, 9 , 900 
3,August,North,Wisconsin,Bailey,Chandler,Casual,Mens,160,8, 9 ," 1,280 "
3,August,North,Wisconsin,Bailey,Chandler,Business,Mens,160,10, 5 ," 1,600 "
3,August,North,Wisconsin,Bailey,Chandler,Casual,Womens,100,8, 9 , 800 
3,August,North,Wisconsin,Bailey,Chandler,Business,Womens,160,6, 10 , 960 
3,August,North,Wisconsin,Bailey,Denton,Casual,Mens,120,6, 9 , 720 
3,August,North,Wisconsin,Bailey,Denton,Business,Mens,170,8, 5 ," 1,360 "
3,August,North,Wisconsin,Bailey,Denton,Casual,Womens,170,6, 7 ," 1,020 "
3,August,North,Wisconsin,Bailey,Denton,Business,Womens,150,5, 7 , 750 
3,September,North,Wisconsin,Bailey,Ashley,Casual,Mens,50,9, 5 , 450 
3,September,North,Wisconsin,Bailey,Ashley,Business,Mens,50,7, 10 , 350 
3,September,North,Wisconsin,Bailey,Ashley,Casual,Womens,100,10, 10 ," 1,000 "
3,September,North,Wisconsin,Bailey,Ashley,Business,Womens,120,8, 10 , 960 
3,September,North,Wisconsin,Bailey,Blakely,Casual,Mens,140,5, 9 , 700 
